id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address,fecha_consulta
26729,Chedraui Neza Estadio,Chedraui,,tortillas blancas de maíz,12.5,"a granel, precio por kg",tortilla+de+maíz,19.400626,-98.98726,4ta. avenida no. 257 lote 1 entre lázaro cárdenas y cto rey neza,2023-05-15 17:18:44
26722,Chedraui Tepozán,Chedraui,chedraui,tortilla amarilla,12.4,"a granel, precio por kg",tortilla+de+maíz,19.362166,-98.988547,av. tepozanes no. 3 entre tabachines y siervo de la nación,2023-05-15 17:18:44
26722,Chedraui Tepozán,Chedraui,,tortillas blancas de maíz,12.4,"a granel, precio por kg",tortilla+de+maíz,19.362166,-98.988547,av. tepozanes no. 3 entre tabachines y siervo de la nación,2023-05-15 17:18:44
1445,Pedregal,Selecto Chedraui,canoil,aceite vegetal puro de canola,47.0,botella 946 ml,aceite,19.335124,-99.198477,av. san jerónimo 236,2023-05-15 17:18:44
1445,Pedregal,Selecto Chedraui,1.2.3.,aceite vegetal comestible,52.0,botella 1 l,aceite,19.335124,-99.198477,av. san jerónimo 236,2023-05-15 17:18:44
1445,Pedregal,Selecto Chedraui,sabrosano,aceite vegetal comestible sabor mantequilla,43.5,botella 850 ml,aceite,19.335124,-99.198477,av. san jerónimo 236,2023-05-15 17:18:44
4414,La Comer Coyoacán,La Comer,canoil,aceite vegetal puro de canola,47.5,botella 946 ml,aceite,19.345009,-99.171911,"miguel angel de quevedo 443, romero de terreros, 4310 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
4414,La Comer Coyoacán,La Comer,1.2.3.,aceite vegetal comestible,52.0,botella 1 l,aceite,19.345009,-99.171911,"miguel angel de quevedo 443, romero de terreros, 4310 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
4414,La Comer Coyoacán,La Comer,gran tradicion,aceite vegetal,39.5,botella 900 ml,aceite,19.345009,-99.171911,"miguel angel de quevedo 443, romero de terreros, 4310 coyoacan, mexico, distrito federal",2023-05-15 17:18:44
10002,San Jeronimo,Soriana,canoil,aceite vegetal puro de canola,49.5,botella 946 ml,aceite,19.330351,-99.208839,"anillo perif. 630, jardines del pedregal, álvaro obregón, 01900 ciudad de méxico, cdmx",2023-05-15 17:18:44
10002,San Jeronimo,Soriana,1.2.3.,aceite vegetal comestible,56.9,botella 1 l,aceite,19.330351,-99.208839,"anillo perif. 630, jardines del pedregal, álvaro obregón, 01900 ciudad de méxico, cdmx",2023-05-15 17:18:44
