id_tienda,sucursal,store_name,marca,producto,precio,contenido,busqueda,latitud,longitud,address
10351,San Mateo,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.4824752,-99.2496149,Adolfo Lopez Mateos 201
10351,San Mateo,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.4824752,-99.2496149,Adolfo Lopez Mateos 201
4416,La Comer Lago Alberto,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.438297,-99.179747,"XOCHIMILCO 343, ANAHUAC, 11320 MIGUEL HIDALGO, MEXICO, DISTRITO FEDERAL"
4416,La Comer Lago Alberto,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.438297,-99.179747,"XOCHIMILCO 343, ANAHUAC, 11320 MIGUEL HIDALGO, MEXICO, DISTRITO FEDERAL"
4416,La Comer Lago Alberto,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.438297,-99.179747,"XOCHIMILCO 343, ANAHUAC, 11320 MIGUEL HIDALGO, MEXICO, DISTRITO FEDERAL"
4416,La Comer Lago Alberto,La Comer,,masa de maíz blanco,15.0,"a granel, precio por kg",tortilla+de+maíz,19.438297,-99.179747,"XOCHIMILCO 343, ANAHUAC, 11320 MIGUEL HIDALGO, MEXICO, DISTRITO FEDERAL"
10365,Parque Delta,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.402432,-99.1543,Av. Cuauhtemoc 462
10365,Parque Delta,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.402432,-99.1543,Av. Cuauhtemoc 462
10008,Pilares,Soriana,,tortilla de maíz blanca,12.9,"a granel, precio por kg",tortilla+de+maíz,19.376003,-99.163252,"Pilares 541, Del Valle, Benito Juárez, 03100 Ciudad de México, CDMX"
10008,Pilares,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.376003,-99.163252,"Pilares 541, Del Valle, Benito Juárez, 03100 Ciudad de México, CDMX"
10949,Asturias,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.408254,-99.132567,Calz. Chabacano 43
10949,Asturias,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.408254,-99.132567,Calz. Chabacano 43
9987,Miramontes,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.321479,-99.131373,Av. Canal De Miramontes 2600
9987,Miramontes,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.321479,-99.131373,Av. Canal De Miramontes 2600
290,Plaza Americas,Chedraui,Chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.31277695,-99.1354656,Calle Benito Juárez 117
290,Plaza Americas,Chedraui,,tortillas blancas de maíz,12.8,"a granel, precio por kg",tortilla+de+maíz,19.31277695,-99.1354656,Calle Benito Juárez 117
4452,La Comer Villa Coapa,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.305302,-99.126116,"CALZ DEL HUESO 530, FRACC. LOS GIRASOLES, 4929 COYOACAN, MEXICO, DISTRITO FEDERAL"
4452,La Comer Villa Coapa,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.305302,-99.126116,"CALZ DEL HUESO 530, FRACC. LOS GIRASOLES, 4929 COYOACAN, MEXICO, DISTRITO FEDERAL"
4452,La Comer Villa Coapa,La Comer,,masa de maíz blanco,15.0,"a granel, precio por kg",tortilla+de+maíz,19.305302,-99.126116,"CALZ DEL HUESO 530, FRACC. LOS GIRASOLES, 4929 COYOACAN, MEXICO, DISTRITO FEDERAL"
10354,Gran Sur,Soriana,,tortilla de maíz blanca,12.8,"a granel, precio por kg",tortilla+de+maíz,19.307004,-99.164637,Av. Del Iman 151
10354,Gran Sur,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.307004,-99.164637,Av. Del Iman 151
173,Coapa,Chedraui,Chedraui,tortilla amarilla,12.8,"a granel, precio por kg",tortilla+de+maíz,19.304096,-99.118488,Calzada Del Hueso 670
173,Coapa,Chedraui,,tortillas blancas de maíz,12.8,"a granel, precio por kg",tortilla+de+maíz,19.304096,-99.118488,Calzada Del Hueso 670
27307,Tulyehualco,Soriana,,tortilla de maíz blanca,12.9,"a granel, precio por kg",tortilla+de+maíz,19.32182,-99.0863,Av. Tlahuac 4680
27307,Tulyehualco,Soriana,,tortilla de maíz amarillo,12.8,"a granel, precio por kg",tortilla+de+maíz,19.32182,-99.0863,Av. Tlahuac 4680
4449,La Comer Tlalpan,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.288687,-99.179181,"PLAZUELA DE LA FAMA 1, LA FAMA, 14410 TLALPAN, MEXICO, CIUDAD DE MEXICO"
4449,La Comer Tlalpan,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.288687,-99.179181,"PLAZUELA DE LA FAMA 1, LA FAMA, 14410 TLALPAN, MEXICO, CIUDAD DE MEXICO"
4449,La Comer Tlalpan,La Comer,,tortilla taquera maíz azul,17.5,"precio por kg, unidad: 1 kg aprox",tortilla+de+maíz,19.288687,-99.179181,"PLAZUELA DE LA FAMA 1, LA FAMA, 14410 TLALPAN, MEXICO, CIUDAD DE MEXICO"
146,Interlomas,Selecto Chedraui,Chedraui,tortilla amarilla,13.5,"a granel, precio por kg",tortilla+de+maíz,19.4023877,-99.2699782,"Blvd. Interlomas 5, La Herradura, 52760 Huixquilucan, Méx."
3087,Chedraui Tepeyac,Chedraui,Chedraui,tortilla amarilla,14.0,"a granel, precio por kg",tortilla+de+maíz,19.469225,-99.114687,"Henry Ford 120, Bondojito, CP 07850, Gustavo A. Madero"
3087,Chedraui Tepeyac,Chedraui,,tortillas blancas de maíz,14.0,"a granel, precio por kg",tortilla+de+maíz,19.469225,-99.114687,"Henry Ford 120, Bondojito, CP 07850, Gustavo A. Madero"
4447,La Comer El Dorado,La Comer,,tortilla de maíz amarilla,14.9,"a granel, precio por kg",tortilla+de+maíz,19.551501,-99.209819,"ATENAS 6, FRACC. VALLE DORADO, 54020 TLALNEPANTLA, TLALNEPANTLA, ESTADO DE MEXICO"
4447,La Comer El Dorado,La Comer,F/m,tortilla de maíz azul,18.9,"a granel, precio por kg",tortilla+de+maíz,19.551501,-99.209819,"ATENAS 6, FRACC. VALLE DORADO, 54020 TLALNEPANTLA, TLALNEPANTLA, ESTADO DE MEXICO"
